t,p,q,d,b,a
2024-02-15,42200.0,1100.0,-1100.0,1100.0,0.0
2024-02-15,42250.0,18900.0,-18900.0,18900.0,0.0
2024-02-15,42300.0,44100.0,-39700.0,41900.0,2200.0
2024-02-15,42350.0,66000.0,-10600.0,38300.0,27700.0
2024-02-15,42400.0,222200.0,-216600.0,219400.0,2800.0
2024-02-15,42450.0,435000.0,-213200.0,324100.0,110900.0
2024-02-15,42500.0,284800.0,126400.0,79200.0,205600.0
2024-02-15,42550.0,72100.0,-25100.0,48600.0,23500.0
2024-02-15,42600.0,109600.0,-56800.0,83200.0,26400.0
2024-02-15,42650.0,277000.0,-186600.0,231800.0,45200.0
2024-02-15,42700.0,278100.0,152300.0,62900.0,215200.0
2024-02-15,42750.0,23500.0,23500.0,0.0,23500.0
2024-02-15,42800.0,800.0,800.0,0.0,800.0
2024-02-16,42500.0,1100.0,-900.0,1000.0,100.0
2024-02-16,42550.0,37800.0,37800.0,0.0,37800.0
2024-02-16,42600.0,5300.0,-2700.0,4000.0,1300.0
2024-02-16,42650.0,47600.0,-42800.0,45200.0,2400.0
2024-02-16,42700.0,155900.0,74300.0,40800.0,115100.0
2024-02-16,42750.0,201800.0,67000.0,67400.0,134400.0
2024-02-16,42800.0,223900.0,221900.0,1000.0,222900.0
2024-02-16,42850.0,45700.0,39300.0,3200.0,42500.0
2024-02-16,42900.0,48500.0,43700.0,2400.0,46100.0
2024-02-16,42950.0,45000.0,34200.0,5400.0,39600.0
2024-02-16,43000.0,149800.0,149800.0,0.0,149800.0
2024-02-16,43050.0,9500.0,9500.0,0.0,9500.0
2024-02-16,43100.0,94200.0,27000.0,33600.0,60600.0
2024-02-16,43150.0,68800.0,49600.0,9600.0,59200.0
2024-02-16,43200.0,77600.0,72000.0,2800.0,74800.0
2024-02-16,43250.0,96600.0,-12000.0,54300.0,42300.0
2024-02-16,43300.0,95100.0,75900.0,9600.0,85500.0
2024-02-16,43350.0,29700.0,27700.0,1000.0,28700.0
2024-02-16,43400.0,45200.0,5000.0,20100.0,25100.0
2024-02-16,43450.0,46200.0,31600.0,7300.0,38900.0
2024-02-16,43500.0,121500.0,118700.0,1400.0,120100.0
2024-02-16,43550.0,32200.0,32200.0,0.0,32200.0
2024-02-16,43600.0,15100.0,14900.0,100.0,15000.0
2024-02-16,43650.0,18100.0,14700.0,1700.0,16400.0
2024-02-16,43700.0,28400.0,26000.0,1200.0,27200.0
2024-02-16,43750.0,29700.0,-13700.0,21700.0,8000.0
2024-02-16,43800.0,330400.0,-44400.0,187400.0,143000.0
2024-02-16,43850.0,240300.0,112700.0,63800.0,176500.0
2024-02-16,43900.0,262200.0,212400.0,24900.0,237300.0
2024-02-16,43950.0,390300.0,-79500.0,234900.0,155400.0
2024-02-16,44000.0,886500.0,216300.0,335100.0,551400.0
2024-02-16,44050.0,664700.0,296100.0,184300.0,480400.0
2024-02-16,44100.0,140800.0,124800.0,8000.0,132800.0
2024-02-16,44150.0,8100.0,8100.0,0.0,8100.0
2024-02-19,44300.0,93900.0,93700.0,100.0,93800.0
2024-02-19,44350.0,3000.0,3000.0,0.0,3000.0
2024-02-19,44400.0,13500.0,13300.0,100.0,13400.0
2024-02-19,44450.0,41900.0,41900.0,0.0,41900.0
2024-02-19,44500.0,69200.0,67000.0,1100.0,68100.0
2024-02-19,44550.0,24500.0,24500.0,0.0,24500.0
2024-02-19,44600.0,74700.0,21900.0,26400.0,48300.0
2024-02-19,44650.0,361100.0,-108100.0,234600.0,126500.0
2024-02-19,44700.0,690700.0,226500.0,232100.0,458600.0
2024-02-19,44750.0,392200.0,264000.0,64100.0,328100.0
2024-02-19,44800.0,183300.0,183300.0,0.0,183300.0
2024-02-19,44850.0,40100.0,40100.0,0.0,40100.0
2024-02-19,44900.0,87600.0,87400.0,100.0,87500.0
2024-02-19,44950.0,30700.0,30300.0,200.0,30500.0
2024-02-19,45000.0,187700.0,187700.0,0.0,187700.0
2024-02-19,45050.0,21200.0,21200.0,0.0,21200.0
2024-02-19,45100.0,31300.0,31300.0,0.0,31300.0
2024-02-19,45150.0,16600.0,16000.0,300.0,16300.0
2024-02-19,45200.0,189500.0,136300.0,26600.0,162900.0
2024-02-19,45250.0,177200.0,54000.0,61600.0,115600.0
2024-02-19,45300.0,50200.0,50200.0,0.0,50200.0
2024-02-19,45350.0,25600.0,23000.0,1300.0,24300.0
2024-02-19,45400.0,69500.0,-4100.0,36800.0,32700.0
2024-02-19,45450.0,130700.0,61300.0,34700.0,96000.0
2024-02-19,45500.0,127000.0,127000.0,0.0,127000.0
2024-02-19,45550.0,22900.0,10100.0,6400.0,16500.0
2024-02-19,45600.0,85600.0,85600.0,0.0,85600.0
2024-02-19,45650.0,10900.0,10900.0,0.0,10900.0
2024-02-19,45700.0,14400.0,14400.0,0.0,14400.0
2024-02-19,45750.0,600.0,600.0,0.0,600.0
2024-02-19,45800.0,16200.0,16200.0,0.0,16200.0
2024-02-19,45850.0,8700.0,8700.0,0.0,8700.0
2024-02-19,45900.0,52200.0,52200.0,0.0,52200.0
2024-02-19,45950.0,22200.0,22200.0,0.0,22200.0
2024-02-19,46000.0,283900.0,283900.0,0.0,283900.0
2024-02-19,46050.0,8800.0,8800.0,0.0,8800.0
2024-02-19,46100.0,34600.0,34600.0,0.0,34600.0
2024-02-19,46150.0,7600.0,7600.0,0.0,7600.0
2024-02-19,46200.0,143300.0,-131300.0,137300.0,6000.0
2024-02-19,46250.0,141200.0,26200.0,57500.0,83700.0
2024-02-19,46300.0,147200.0,67400.0,39900.0,107300.0
2024-02-19,46350.0,95500.0,16700.0,39400.0,56100.0
2024-02-19,46400.0,194600.0,43800.0,75400.0,119200.0
2024-02-19,46450.0,387600.0,42800.0,172400.0,215200.0
2024-02-19,46500.0,937200.0,265800.0,335700.0,601500.0
2024-02-19,46550.0,432700.0,66700.0,183000.0,249700.0
2024-02-19,46600.0,693800.0,102800.0,295500.0,398300.0
2024-02-19,46650.0,889900.0,-203900.0,546900.0,343000.0
2024-02-19,46700.0,758200.0,307200.0,225500.0,532700.0
2024-02-19,46750.0,437300.0,382100.0,27600.0,409700.0
2024-02-19,46800.0,230500.0,230500.0,0.0,230500.0
2024-02-19,46850.0,22400.0,22400.0,0.0,22400.0
2024-02-19,46900.0,84100.0,80500.0,1800.0,82300.0
2024-02-19,46950.0,149500.0,-24500.0,87000.0,62500.0
2024-02-19,47000.0,6502000.0,-400800.0,3451400.0,3050600.0
2024-02-20,47900.0,42200.0,-39000.0,40600.0,1600.0
2024-02-20,47950.0,109800.0,-8000.0,58900.0,50900.0
2024-02-20,48000.0,398200.0,398200.0,0.0,398200.0
2024-02-20,48050.0,8900.0,8900.0,0.0,8900.0
2024-02-20,48100.0,14400.0,14400.0,0.0,14400.0
2024-02-20,48150.0,6600.0,6600.0,0.0,6600.0
2024-02-20,48200.0,57900.0,52700.0,2600.0,55300.0
2024-02-20,48250.0,22700.0,22700.0,0.0,22700.0
2024-02-20,48300.0,32900.0,32900.0,0.0,32900.0
2024-02-20,48350.0,19900.0,19500.0,200.0,19700.0
2024-02-20,48400.0,56500.0,-14500.0,35500.0,21000.0
2024-02-20,48450.0,115100.0,94500.0,10300.0,104800.0
2024-02-20,48500.0,143000.0,44800.0,49100.0,93900.0
2024-02-20,48550.0,107300.0,-19700.0,63500.0,43800.0
2024-02-20,48600.0,363900.0,-1700.0,182800.0,181100.0
2024-02-20,48650.0,561600.0,-199200.0,380400.0,181200.0
2024-02-20,48700.0,882700.0,238300.0,322200.0,560500.0
2024-02-20,48750.0,463000.0,283600.0,89700.0,373300.0
2024-02-20,48800.0,696000.0,-52000.0,374000.0,322000.0
2024-02-20,48850.0,608900.0,158900.0,225000.0,383900.0
2024-02-20,48900.0,670000.0,101800.0,284100.0,385900.0
2024-02-20,48950.0,500400.0,278600.0,110900.0,389500.0
2024-02-20,49000.0,817000.0,309400.0,253800.0,563200.0
2024-02-20,49050.0,223200.0,-4800.0,114000.0,109200.0
2024-02-20,49100.0,297900.0,119700.0,89100.0,208800.0
2024-02-20,49150.0,347000.0,93200.0,126900.0,220100.0
2024-02-20,49200.0,286200.0,-21000.0,153600.0,132600.0
2024-02-20,49250.0,460600.0,98200.0,181200.0,279400.0
2024-02-20,49300.0,361900.0,225900.0,68000.0,293900.0
2024-02-20,49350.0,69500.0,69500.0,0.0,69500.0
2024-02-21,47100.0,50100.0,-50100.0,50100.0,0.0
2024-02-21,47150.0,31600.0,18400.0,6600.0,25000.0
2024-02-21,47200.0,91700.0,-66500.0,79100.0,12600.0
2024-02-21,47250.0,298300.0,-76100.0,187200.0,111100.0
2024-02-21,47300.0,565600.0,-14000.0,289800.0,275800.0
2024-02-21,47350.0,424600.0,16000.0,204300.0,220300.0
2024-02-21,47400.0,257900.0,-61500.0,159700.0,98200.0
2024-02-21,47450.0,226700.0,-94300.0,160500.0,66200.0
2024-02-21,47500.0,871500.0,-235900.0,553700.0,317800.0
2024-02-21,47550.0,454600.0,-91800.0,273200.0,181400.0
2024-02-21,47600.0,347000.0,-37400.0,192200.0,154800.0
2024-02-21,47650.0,173200.0,-63800.0,118500.0,54700.0
2024-02-21,47700.0,329300.0,-109100.0,219200.0,110100.0
2024-02-21,47750.0,308300.0,-15500.0,161900.0,146400.0
2024-02-21,47800.0,305300.0,-83900.0,194600.0,110700.0
2024-02-21,47850.0,199000.0,-16400.0,107700.0,91300.0
2024-02-21,47900.0,365100.0,-195900.0,280500.0,84600.0
2024-02-21,47950.0,437600.0,-163800.0,300700.0,136900.0
2024-02-21,48000.0,334500.0,173300.0,80600.0,253900.0
2024-02-21,48050.0,15700.0,-7500.0,11600.0,4100.0
2024-02-21,48100.0,19500.0,-11700.0,15600.0,3900.0
2024-02-21,48150.0,20200.0,800.0,9700.0,10500.0
2024-02-21,48200.0,1300.0,-700.0,1000.0,300.0
2024-02-21,48250.0,200.0,-200.0,200.0,0.0
2024-02-21,48300.0,800.0,-800.0,800.0,0.0
2024-02-21,48350.0,1900.0,-1900.0,1900.0,0.0
2024-02-21,48400.0,1000.0,-1000.0,1000.0,0.0
2024-02-21,48450.0,5500.0,-5500.0,5500.0,0.0
2024-02-21,48500.0,25100.0,-24300.0,24700.0,400.0
2024-02-21,48550.0,65000.0,65000.0,0.0,65000.0
2024-02-22,47000.0,2400.0,-2400.0,2400.0,0.0
2024-02-22,47050.0,85100.0,-76500.0,80800.0,4300.0
2024-02-22,47100.0,138100.0,37500.0,50300.0,87800.0
2024-02-22,47150.0,57100.0,-40100.0,48600.0,8500.0
2024-02-22,47200.0,61400.0,-29000.0,45200.0,16200.0
2024-02-22,47250.0,223900.0,-6500.0,115200.0,108700.0
2024-02-22,47300.0,385900.0,77300.0,154300.0,231600.0
2024-02-22,47350.0,255900.0,34900.0,110500.0,145400.0
2024-02-22,47400.0,534400.0,-101600.0,318000.0,216400.0
2024-02-22,47450.0,605700.0,77100.0,264300.0,341400.0
2024-02-22,47500.0,514800.0,27200.0,243800.0,271000.0
2024-02-22,47550.0,321100.0,-22300.0,171700.0,149400.0
2024-02-22,47600.0,250200.0,75400.0,87400.0,162800.0
2024-02-22,47650.0,199500.0,13100.0,93200.0,106300.0
2024-02-22,47700.0,167200.0,167200.0,0.0,167200.0
2024-02-23,45400.0,90600.0,-90600.0,90600.0,0.0
2024-02-23,45450.0,301400.0,-74400.0,187900.0,113500.0
2024-02-23,45500.0,593100.0,-170500.0,381800.0,211300.0
2024-02-23,45550.0,285700.0,4100.0,140800.0,144900.0
2024-02-23,45600.0,313700.0,96100.0,108800.0,204900.0
2024-02-23,45650.0,89000.0,-19200.0,54100.0,34900.0
2024-02-23,45700.0,34400.0,800.0,16800.0,17600.0
2024-02-23,45750.0,5700.0,-5500.0,5600.0,100.0
2024-02-23,45800.0,54500.0,-33100.0,43800.0,10700.0
2024-02-23,45850.0,44000.0,4000.0,20000.0,24000.0
2024-02-23,45900.0,72200.0,34800.0,18700.0,53500.0
2024-02-23,45950.0,56700.0,-18900.0,37800.0,18900.0
2024-02-23,46000.0,196000.0,-174200.0,185100.0,10900.0
2024-02-23,46050.0,243200.0,-228600.0,235900.0,7300.0
2024-02-23,46100.0,269600.0,-121400.0,195500.0,74100.0
2024-02-23,46150.0,266400.0,24400.0,121000.0,145400.0
2024-02-23,46200.0,156300.0,-20500.0,88400.0,67900.0
2024-02-23,46250.0,81000.0,16000.0,32500.0,48500.0
2024-02-23,46300.0,147900.0,-96500.0,122200.0,25700.0
2024-02-23,46350.0,93800.0,27800.0,33000.0,60800.0
2024-02-23,46400.0,83200.0,-73200.0,78200.0,5000.0
2024-02-23,46450.0,99800.0,-71200.0,85500.0,14300.0
2024-02-23,46500.0,528900.0,-516900.0,522900.0,6000.0
2024-02-23,46550.0,375200.0,-64000.0,219600.0,155600.0
2024-02-23,46600.0,148800.0,-72200.0,110500.0,38300.0
2024-02-23,46650.0,120500.0,-74100.0,97300.0,23200.0
2024-02-23,46700.0,193400.0,-600.0,97000.0,96400.0
2024-02-23,46750.0,45100.0,-16100.0,30600.0,14500.0
2024-02-23,46800.0,119900.0,-59500.0,89700.0,30200.0
2024-02-23,46850.0,100800.0,-88200.0,94500.0,6300.0
2024-02-23,46900.0,233700.0,-52500.0,143100.0,90600.0
2024-02-23,46950.0,279500.0,-202900.0,241200.0,38300.0
2024-02-23,47000.0,998700.0,-661500.0,830100.0,168600.0
2024-02-23,47050.0,837100.0,-345500.0,591300.0,245800.0
2024-02-23,47100.0,553200.0,163600.0,194800.0,358400.0
2024-02-23,47150.0,141600.0,26600.0,57500.0,84100.0
2024-02-23,47200.0,102400.0,-47200.0,74800.0,27600.0
2024-02-23,47250.0,81400.0,-52400.0,66900.0,14500.0
2024-02-23,47300.0,198600.0,-87800.0,143200.0,55400.0
2024-02-23,47350.0,116400.0,-50400.0,83400.0,33000.0
2024-02-23,47400.0,92600.0,-13000.0,52800.0,39800.0
2024-02-23,47450.0,68600.0,-400.0,34500.0,34100.0
2024-02-23,47500.0,85100.0,-26700.0,55900.0,29200.0
2024-02-23,47550.0,19400.0,-1800.0,10600.0,8800.0
2024-02-23,47600.0,53600.0,-49200.0,51400.0,2200.0
2024-02-23,47650.0,22900.0,-22900.0,22900.0,0.0
2024-02-23,47700.0,72500.0,-16300.0,44400.0,28100.0
2024-02-23,47750.0,18400.0,16000.0,1200.0,17200.0
2024-02-23,47800.0,33600.0,-33600.0,33600.0,0.0
2024-02-23,47900.0,11200.0,7200.0,2000.0,9200.0
2024-02-23,47950.0,33700.0,33700.0,0.0,33700.0
2024-02-26,44300.0,12900.0,-12900.0,12900.0,0.0
2024-02-26,44350.0,258700.0,-150900.0,204800.0,53900.0
2024-02-26,44400.0,226400.0,-58600.0,142500.0,83900.0
2024-02-26,44450.0,138600.0,59800.0,39400.0,99200.0
2024-02-26,44500.0,257200.0,-133600.0,195400.0,61800.0
2024-02-26,44550.0,129800.0,-4000.0,66900.0,62900.0
2024-02-26,44600.0,137500.0,18900.0,59300.0,78200.0
2024-02-26,44650.0,160900.0,-83700.0,122300.0,38600.0
2024-02-26,44700.0,262100.0,115900.0,73100.0,189000.0
2024-02-26,44750.0,113500.0,-21900.0,67700.0,45800.0
2024-02-26,44800.0,215900.0,-85700.0,150800.0,65100.0
2024-02-26,44850.0,270100.0,108900.0,80600.0,189500.0
2024-02-26,44900.0,221900.0,-52300.0,137100.0,84800.0
2024-02-26,44950.0,153500.0,-34900.0,94200.0,59300.0
2024-02-26,45000.0,255100.0,-18100.0,136600.0,118500.0
2024-02-26,45050.0,235800.0,-115000.0,175400.0,60400.0
2024-02-26,45100.0,231100.0,-91300.0,161200.0,69900.0
2024-02-26,45150.0,211300.0,13100.0,99100.0,112200.0
2024-02-26,45200.0,320800.0,-123200.0,222000.0,98800.0
2024-02-26,45250.0,120500.0,78100.0,21200.0,99300.0
2024-02-26,45300.0,59300.0,-40900.0,50100.0,9200.0
2024-02-26,45350.0,142200.0,63200.0,39500.0,102700.0
2024-02-26,45400.0,45400.0,-26000.0,35700.0,9700.0
2024-02-26,45450.0,23300.0,1100.0,11100.0,12200.0
2024-02-26,45500.0,163300.0,-82700.0,123000.0,40300.0
2024-02-26,45550.0,116000.0,-400.0,58200.0,57800.0
2024-02-26,45600.0,107100.0,18900.0,44100.0,63000.0
2024-02-26,45650.0,17700.0,-14100.0,15900.0,1800.0
2024-02-26,45700.0,29800.0,7000.0,11400.0,18400.0
2024-02-26,45750.0,1000.0,1000.0,0.0,1000.0
2024-02-27,44350.0,11400.0,-11400.0,11400.0,0.0
2024-02-27,44400.0,91700.0,-62900.0,77300.0,14400.0
2024-02-27,44450.0,149200.0,-57400.0,103300.0,45900.0
2024-02-27,44500.0,406500.0,-281500.0,344000.0,62500.0
2024-02-27,44550.0,799400.0,-212600.0,506000.0,293400.0
2024-02-27,44600.0,674600.0,129000.0,272800.0,401800.0
2024-02-27,44650.0,182300.0,93900.0,44200.0,138100.0
2024-02-27,44700.0,132900.0,-13300.0,73100.0,59800.0
2024-02-27,44750.0,127600.0,40000.0,43800.0,83800.0
2024-02-27,44800.0,238400.0,-171400.0,204900.0,33500.0
2024-02-27,44850.0,111600.0,-7400.0,59500.0,52100.0
2024-02-27,44900.0,125000.0,31200.0,46900.0,78100.0
2024-02-27,44950.0,48100.0,33100.0,7500.0,40600.0
2024-02-27,45000.0,103000.0,89400.0,6800.0,96200.0
2024-02-27,45050.0,44600.0,-6600.0,25600.0,19000.0
2024-02-27,45100.0,173500.0,-3100.0,88300.0,85200.0
2024-02-27,45150.0,107200.0,27000.0,40100.0,67100.0
2024-02-27,45200.0,92400.0,20000.0,36200.0,56200.0
2024-02-27,45250.0,59400.0,11800.0,23800.0,35600.0
2024-02-27,45300.0,46200.0,24200.0,11000.0,35200.0
2024-02-27,45350.0,33300.0,7700.0,12800.0,20500.0
2024-02-27,45400.0,40600.0,12800.0,13900.0,26700.0
2024-02-27,45450.0,31000.0,-2600.0,16800.0,14200.0
2024-02-27,45500.0,117800.0,38400.0,39700.0,78100.0
2024-02-27,45550.0,49800.0,4400.0,22700.0,27100.0
2024-02-27,45600.0,46100.0,29500.0,8300.0,37800.0
2024-02-27,45650.0,13500.0,13500.0,0.0,13500.0
2024-02-28,45250.0,10200.0,-10200.0,10200.0,0.0
2024-02-28,45300.0,37800.0,-23800.0,30800.0,7000.0
2024-02-28,45350.0,66100.0,-39300.0,52700.0,13400.0
2024-02-28,45400.0,68600.0,-31800.0,50200.0,18400.0
2024-02-28,45450.0,127500.0,-56300.0,91900.0,35600.0
2024-02-28,45500.0,223800.0,16600.0,103600.0,120200.0
2024-02-28,45550.0,110600.0,-38800.0,74700.0,35900.0
2024-02-28,45600.0,213900.0,-4700.0,109300.0,104600.0
2024-02-28,45650.0,189000.0,-118200.0,153600.0,35400.0
2024-02-28,45700.0,316400.0,4600.0,155900.0,160500.0
2024-02-28,45750.0,125200.0,-6200.0,65700.0,59500.0
2024-02-28,45800.0,251400.0,-61000.0,156200.0,95200.0
2024-02-28,45850.0,164800.0,-800.0,82800.0,82000.0
2024-02-28,45900.0,358200.0,165000.0,96600.0,261600.0
2024-02-28,45950.0,98700.0,46700.0,26000.0,72700.0
2024-02-28,46000.0,242600.0,20000.0,111300.0,131300.0
2024-02-28,46050.0,114800.0,-34800.0,74800.0,40000.0
2024-02-28,46100.0,142300.0,26500.0,57900.0,84400.0
2024-02-28,46150.0,63000.0,36600.0,13200.0,49800.0
2024-02-28,46200.0,57200.0,22800.0,17200.0,40000.0
2024-02-28,46250.0,42100.0,4500.0,18800.0,23300.0
2024-02-28,46300.0,93900.0,1300.0,46300.0,47600.0
2024-02-28,46350.0,56200.0,33600.0,11300.0,44900.0
2024-02-28,46400.0,22300.0,22300.0,0.0,22300.0
2024-02-29,45050.0,52900.0,-52900.0,52900.0,0.0
2024-02-29,45100.0,236600.0,-65800.0,151200.0,85400.0
2024-02-29,45150.0,306600.0,-163800.0,235200.0,71400.0
2024-02-29,45200.0,235000.0,-145400.0,190200.0,44800.0
2024-02-29,45250.0,328900.0,-122700.0,225800.0,103100.0
2024-02-29,45300.0,209100.0,-39700.0,124400.0,84700.0
2024-02-29,45350.0,195900.0,7700.0,94100.0,101800.0
2024-02-29,45400.0,220100.0,18500.0,100800.0,119300.0
2024-02-29,45450.0,77500.0,-10100.0,43800.0,33700.0
2024-02-29,45500.0,164100.0,-70100.0,117100.0,47000.0
2024-02-29,45550.0,164600.0,-70200.0,117400.0,47200.0
2024-02-29,45600.0,102200.0,-26400.0,64300.0,37900.0
2024-02-29,45650.0,38300.0,-33900.0,36100.0,2200.0
2024-02-29,45700.0,86600.0,-13600.0,50100.0,36500.0
2024-02-29,45750.0,64900.0,-40700.0,52800.0,12100.0
2024-02-29,45800.0,154900.0,-74300.0,114600.0,40300.0
2024-02-29,45850.0,186500.0,-65100.0,125800.0,60700.0
2024-02-29,45900.0,200200.0,64800.0,67700.0,132500.0
2024-02-29,45950.0,16600.0,10200.0,3200.0,13400.0
2024-02-29,46000.0,250100.0,-51100.0,150600.0,99500.0
2024-02-29,46050.0,63700.0,36900.0,13400.0,50300.0
2024-02-29,46100.0,97000.0,-33200.0,65100.0,31900.0
2024-02-29,46150.0,14700.0,14700.0,0.0,14700.0
2024-03-01,44850.0,6400.0,-6400.0,6400.0,0.0
2024-03-01,44900.0,221400.0,-100000.0,160700.0,60700.0
2024-03-01,44950.0,340500.0,-4700.0,172600.0,167900.0
2024-03-01,45000.0,601100.0,-168100.0,384600.0,216500.0
2024-03-01,45050.0,157300.0,18900.0,69200.0,88100.0
2024-03-01,45100.0,126200.0,-14200.0,70200.0,56000.0
2024-03-01,45150.0,76400.0,-14800.0,45600.0,30800.0
2024-03-01,45200.0,101200.0,25000.0,38100.0,63100.0
2024-03-01,45250.0,77300.0,18300.0,29500.0,47800.0
2024-03-01,45300.0,142400.0,-25600.0,84000.0,58400.0
2024-03-01,45350.0,190000.0,37800.0,76100.0,113900.0
2024-03-01,45400.0,282500.0,30700.0,125900.0,156600.0
2024-03-01,45450.0,162000.0,40000.0,61000.0,101000.0
2024-03-01,45500.0,158700.0,11100.0,73800.0,84900.0
2024-03-01,45550.0,46200.0,-6200.0,26200.0,20000.0
2024-03-01,45600.0,4700.0,4700.0,0.0,4700.0
2024-03-04,45150.0,1700.0,-1700.0,1700.0,0.0
2024-03-04,45200.0,63900.0,-63900.0,63900.0,0.0
2024-03-04,45250.0,207200.0,-134000.0,170600.0,36600.0
2024-03-04,45300.0,354600.0,-217000.0,285800.0,68800.0
2024-03-04,45350.0,671700.0,-287700.0,479700.0,192000.0
2024-03-04,45400.0,1022000.0,-66600.0,544300.0,477700.0
2024-03-04,45450.0,627600.0,174600.0,226500.0,401100.0
2024-03-04,45500.0,238300.0,124500.0,56900.0,181400.0
2024-03-04,45550.0,101800.0,14200.0,43800.0,58000.0
2024-03-04,45600.0,186500.0,72700.0,56900.0,129600.0
2024-03-04,45650.0,104900.0,13700.0,45600.0,59300.0
2024-03-04,45700.0,78100.0,-27700.0,52900.0,25200.0
2024-03-04,45750.0,1200.0,1200.0,0.0,1200.0
2024-03-05,45000.0,90800.0,-90800.0,90800.0,0.0
2024-03-05,45050.0,603000.0,-417200.0,510100.0,92900.0
2024-03-05,45100.0,777500.0,-74900.0,426200.0,351300.0
2024-03-05,45150.0,330700.0,-13900.0,172300.0,158400.0
2024-03-05,45200.0,241700.0,66300.0,87700.0,154000.0
2024-03-05,45250.0,133700.0,-110100.0,121900.0,11800.0
2024-03-05,45300.0,263600.0,-107400.0,185500.0,78100.0
2024-03-05,45350.0,278900.0,-128700.0,203800.0,75100.0
2024-03-05,45400.0,211500.0,38700.0,86400.0,125100.0
2024-03-05,45450.0,9800.0,9800.0,0.0,9800.0
2024-03-05,45500.0,200.0,200.0,0.0,200.0
2024-03-06,45200.0,48400.0,-27000.0,37700.0,10700.0
2024-03-06,45250.0,131500.0,-27500.0,79500.0,52000.0
2024-03-06,45300.0,299000.0,26600.0,136200.0,162800.0
2024-03-06,45350.0,290000.0,-36800.0,163400.0,126600.0
2024-03-06,45400.0,199100.0,61100.0,69000.0,130100.0
2024-03-06,45450.0,80800.0,-64800.0,72800.0,8000.0
2024-03-06,45500.0,274400.0,138000.0,68200.0,206200.0
2024-03-06,45550.0,143000.0,-95400.0,119200.0,23800.0
2024-03-06,45600.0,169300.0,-23500.0,96400.0,72900.0
2024-03-06,45650.0,58700.0,12700.0,23000.0,35700.0
2024-03-06,45700.0,68900.0,22700.0,23100.0,45800.0
2024-03-06,45750.0,128800.0,-101400.0,115100.0,13700.0
2024-03-06,45800.0,181900.0,-65100.0,123500.0,58400.0
2024-03-06,45850.0,119500.0,-1700.0,60600.0,58900.0
2024-03-06,45900.0,247000.0,-118600.0,182800.0,64200.0
2024-03-06,45950.0,328000.0,92000.0,118000.0,210000.0
2024-03-06,46000.0,343400.0,-4400.0,173900.0,169500.0
2024-03-06,46050.0,124900.0,-44100.0,84500.0,40400.0
2024-03-06,46100.0,175000.0,4600.0,85200.0,89800.0
2024-03-06,46150.0,156400.0,-45800.0,101100.0,55300.0
2024-03-06,46200.0,235500.0,52300.0,91600.0,143900.0
2024-03-06,46250.0,28200.0,-12000.0,20100.0,8100.0
2024-03-06,46300.0,163300.0,21700.0,70800.0,92500.0
2024-03-06,46350.0,26300.0,26300.0,0.0,26300.0
2024-03-06,46400.0,59900.0,47500.0,6200.0,53700.0
2024-03-06,46450.0,37700.0,36900.0,400.0,37300.0
2024-03-06,46500.0,91000.0,63800.0,13600.0,77400.0
2024-03-06,46550.0,32000.0,4200.0,13900.0,18100.0
2024-03-06,46600.0,32500.0,-11500.0,22000.0,10500.0
2024-03-06,46650.0,12200.0,7800.0,2200.0,10000.0
2024-03-06,46700.0,28600.0,3400.0,12600.0,16000.0
2024-03-06,46750.0,36500.0,5900.0,15300.0,21200.0
2024-03-06,46800.0,121000.0,40800.0,40100.0,80900.0
2024-03-06,46850.0,8400.0,8400.0,0.0,8400.0
2024-03-07,45350.0,5900.0,-5900.0,5900.0,0.0
2024-03-07,45400.0,67600.0,-62200.0,64900.0,2700.0
2024-03-07,45450.0,163800.0,-86000.0,124900.0,38900.0
2024-03-07,45500.0,346500.0,-96900.0,221700.0,124800.0
2024-03-07,45550.0,417500.0,67100.0,175200.0,242300.0
2024-03-07,45600.0,468600.0,203400.0,132600.0,336000.0
2024-03-07,45650.0,290200.0,6400.0,141900.0,148300.0
2024-03-07,45700.0,203600.0,5800.0,98900.0,104700.0
2024-03-07,45750.0,111400.0,21200.0,45100.0,66300.0
2024-03-07,45800.0,148200.0,26800.0,60700.0,87500.0
2024-03-07,45850.0,63700.0,63700.0,0.0,63700.0
2024-03-08,44900.0,5200.0,-5200.0,5200.0,0.0
2024-03-08,44950.0,67900.0,-67900.0,67900.0,0.0
2024-03-08,45000.0,551900.0,-177100.0,364500.0,187400.0
2024-03-08,45050.0,139900.0,-75100.0,107500.0,32400.0
2024-03-08,45100.0,199200.0,-139400.0,169300.0,29900.0
2024-03-08,45150.0,405600.0,-94600.0,250100.0,155500.0
2024-03-08,45200.0,349300.0,-70500.0,209900.0,139400.0
2024-03-08,45250.0,264000.0,-94000.0,179000.0,85000.0
2024-03-08,45300.0,301500.0,-131700.0,216600.0,84900.0
2024-03-08,45350.0,174600.0,-46000.0,110300.0,64300.0
2024-03-08,45400.0,176400.0,-44600.0,110500.0,65900.0
2024-03-08,45450.0,241100.0,-153100.0,197100.0,44000.0
2024-03-08,45500.0,253500.0,-41700.0,147600.0,105900.0
2024-03-08,45550.0,43600.0,15200.0,14200.0,29400.0
2024-03-08,45600.0,56200.0,-50000.0,53100.0,3100.0
2024-03-08,45650.0,41400.0,-40800.0,41100.0,300.0
