t,p,q,d,b,a
2024-02-15,30650.0,1000.0,-1000.0,1000.0,0.0
2024-02-15,30700.0,39100.0,-5700.0,22400.0,16700.0
2024-02-15,30750.0,153900.0,-47500.0,100700.0,53200.0
2024-02-15,30800.0,455900.0,-230700.0,343300.0,112600.0
2024-02-15,30850.0,155300.0,-16500.0,85900.0,69400.0
2024-02-15,30900.0,139400.0,-14600.0,77000.0,62400.0
2024-02-15,30950.0,168700.0,13700.0,77500.0,91200.0
2024-02-15,31000.0,291000.0,188800.0,51100.0,239900.0
2024-02-15,31050.0,30100.0,30100.0,0.0,30100.0
2024-02-16,31050.0,900.0,-900.0,900.0,0.0
2024-02-16,31100.0,35300.0,19100.0,8100.0,27200.0
2024-02-16,31150.0,116500.0,-24500.0,70500.0,46000.0
2024-02-16,31200.0,174800.0,-17200.0,96000.0,78800.0
2024-02-16,31250.0,156700.0,-17100.0,86900.0,69800.0
2024-02-16,31300.0,260500.0,-20700.0,140600.0,119900.0
2024-02-16,31350.0,361900.0,-13700.0,187800.0,174100.0
2024-02-16,31400.0,450400.0,131000.0,159700.0,290700.0
2024-02-16,31450.0,92200.0,10000.0,41100.0,51100.0
2024-02-16,31500.0,189100.0,20700.0,84200.0,104900.0
2024-02-16,31550.0,124900.0,-22700.0,73800.0,51100.0
2024-02-16,31600.0,103000.0,5600.0,48700.0,54300.0
2024-02-16,31650.0,101400.0,-52800.0,77100.0,24300.0
2024-02-16,31700.0,219700.0,28900.0,95400.0,124300.0
2024-02-16,31750.0,133100.0,26900.0,53100.0,80000.0
2024-02-16,31800.0,79100.0,70500.0,4300.0,74800.0
2024-02-19,31000.0,1800.0,-1800.0,1800.0,0.0
2024-02-19,31050.0,102600.0,26000.0,38300.0,64300.0
2024-02-19,31100.0,84300.0,-84300.0,84300.0,0.0
2024-02-19,31150.0,311500.0,-244700.0,278100.0,33400.0
2024-02-19,31200.0,569300.0,-50900.0,310100.0,259200.0
2024-02-19,31250.0,109800.0,77600.0,16100.0,93700.0
2024-02-19,31300.0,40900.0,-15300.0,28100.0,12800.0
2024-02-19,31350.0,21600.0,-19400.0,20500.0,1100.0
2024-02-19,31400.0,38300.0,-1700.0,20000.0,18300.0
2024-02-19,31450.0,8600.0,-7200.0,7900.0,700.0
2024-02-19,31500.0,12000.0,11600.0,200.0,11800.0
2024-02-20,31300.0,5400.0,-5400.0,5400.0,0.0
2024-02-20,31350.0,30400.0,1800.0,14300.0,16100.0
2024-02-20,31400.0,7700.0,-2500.0,5100.0,2600.0
2024-02-20,31450.0,47300.0,-20700.0,34000.0,13300.0
2024-02-20,31500.0,124300.0,-8900.0,66600.0,57700.0
2024-02-20,31550.0,171100.0,11500.0,79800.0,91300.0
2024-02-20,31600.0,253400.0,-87200.0,170300.0,83100.0
2024-02-20,31650.0,194400.0,119000.0,37700.0,156700.0
2024-02-20,31700.0,74900.0,74900.0,0.0,74900.0
2024-02-20,31750.0,33300.0,33100.0,100.0,33200.0
2024-02-20,31800.0,153200.0,-34400.0,93800.0,59400.0
2024-02-20,31850.0,485900.0,-99500.0,292700.0,193200.0
2024-02-20,31900.0,678800.0,86800.0,296000.0,382800.0
2024-02-20,31950.0,315400.0,106600.0,104400.0,211000.0
2024-02-20,32000.0,379600.0,185600.0,97000.0,282600.0
2024-02-20,32050.0,134800.0,-46000.0,90400.0,44400.0
2024-02-20,32100.0,287800.0,39400.0,124200.0,163600.0
2024-02-20,32150.0,98900.0,62300.0,18300.0,80600.0
2024-02-20,32200.0,40700.0,40700.0,0.0,40700.0
2024-02-21,31600.0,23000.0,-23000.0,23000.0,0.0
2024-02-21,31650.0,49700.0,4500.0,22600.0,27100.0
2024-02-21,31700.0,119200.0,4800.0,57200.0,62000.0
2024-02-21,31750.0,198300.0,-85500.0,141900.0,56400.0
2024-02-21,31800.0,310400.0,-147200.0,228800.0,81600.0
2024-02-21,31850.0,223700.0,-65100.0,144400.0,79300.0
2024-02-21,31900.0,284900.0,-71300.0,178100.0,106800.0
2024-02-21,31950.0,91300.0,26300.0,32500.0,58800.0
2024-02-21,32000.0,125500.0,46700.0,39400.0,86100.0
2024-02-21,32050.0,114300.0,-47700.0,81000.0,33300.0
2024-02-21,32100.0,57800.0,-8200.0,33000.0,24800.0
2024-02-21,32150.0,152400.0,51000.0,50700.0,101700.0
2024-02-21,32200.0,1400.0,1400.0,0.0,1400.0
2024-02-22,31300.0,6900.0,-6900.0,6900.0,0.0
2024-02-22,31350.0,231400.0,-131000.0,181200.0,50200.0
2024-02-22,31400.0,252100.0,-121900.0,187000.0,65100.0
2024-02-22,31450.0,120000.0,31000.0,44500.0,75500.0
2024-02-22,31500.0,101800.0,-101600.0,101700.0,100.0
2024-02-22,31550.0,182300.0,-104100.0,143200.0,39100.0
2024-02-22,31600.0,169400.0,-67400.0,118400.0,51000.0
2024-02-22,31650.0,263600.0,-162600.0,213100.0,50500.0
2024-02-22,31700.0,144200.0,38000.0,53100.0,91100.0
2024-02-22,31750.0,15000.0,-4200.0,9600.0,5400.0
2024-02-22,31800.0,11500.0,-9500.0,10500.0,1000.0
2024-02-22,31850.0,600.0,600.0,0.0,600.0
2024-02-22,31900.0,9700.0,9700.0,0.0,9700.0
2024-02-23,30400.0,14800.0,-14800.0,14800.0,0.0
2024-02-23,30450.0,8500.0,-8500.0,8500.0,0.0
2024-02-23,30500.0,305100.0,-246900.0,276000.0,29100.0
2024-02-23,30550.0,81900.0,-51100.0,66500.0,15400.0
2024-02-23,30600.0,156800.0,-154800.0,155800.0,1000.0
2024-02-23,30650.0,152600.0,-57200.0,104900.0,47700.0
2024-02-23,30700.0,188100.0,-151300.0,169700.0,18400.0
2024-02-23,30750.0,113700.0,-63500.0,88600.0,25100.0
2024-02-23,30800.0,287400.0,-197800.0,242600.0,44800.0
2024-02-23,30850.0,214000.0,-106200.0,160100.0,53900.0
2024-02-23,30900.0,163400.0,-111200.0,137300.0,26100.0
2024-02-23,30950.0,227100.0,-190700.0,208900.0,18200.0
2024-02-23,31000.0,392400.0,-204600.0,298500.0,93900.0
2024-02-23,31050.0,146900.0,-12300.0,79600.0,67300.0
2024-02-23,31100.0,350500.0,-293700.0,322100.0,28400.0
2024-02-23,31150.0,350500.0,40300.0,155100.0,195400.0
2024-02-23,31200.0,80800.0,-8200.0,44500.0,36300.0
2024-02-23,31250.0,25100.0,-16500.0,20800.0,4300.0
2024-02-23,31300.0,38300.0,-38100.0,38200.0,100.0
2024-02-23,31350.0,101200.0,-54200.0,77700.0,23500.0
2024-02-23,31400.0,37600.0,-23000.0,30300.0,7300.0
2024-02-23,31450.0,23900.0,23500.0,200.0,23700.0
2024-02-23,31500.0,5300.0,5300.0,0.0,5300.0
2024-02-26,30200.0,75800.0,-75800.0,75800.0,0.0
2024-02-26,30250.0,216200.0,-119400.0,167800.0,48400.0
2024-02-26,30300.0,235800.0,-23000.0,129400.0,106400.0
2024-02-26,30350.0,248800.0,51200.0,98800.0,150000.0
2024-02-26,30400.0,190800.0,5800.0,92500.0,98300.0
2024-02-26,30450.0,78800.0,-20400.0,49600.0,29200.0
2024-02-26,30500.0,120400.0,76000.0,22200.0,98200.0
2024-02-26,30550.0,58000.0,-31600.0,44800.0,13200.0
2024-02-26,30600.0,49800.0,24400.0,12700.0,37100.0
2024-02-26,30650.0,17800.0,-8200.0,13000.0,4800.0
2024-02-26,30700.0,16000.0,600.0,7700.0,8300.0
2024-02-26,30750.0,3300.0,3300.0,0.0,3300.0
2024-02-27,30550.0,45500.0,-31300.0,38400.0,7100.0
2024-02-27,30600.0,117500.0,-63500.0,90500.0,27000.0
2024-02-27,30650.0,301500.0,-8500.0,155000.0,146500.0
2024-02-27,30700.0,186000.0,38600.0,73700.0,112300.0
2024-02-27,30750.0,124100.0,5700.0,59200.0,64900.0
2024-02-27,30800.0,137300.0,104900.0,16200.0,121100.0
2024-02-27,30850.0,20600.0,2600.0,9000.0,11600.0
2024-02-27,30900.0,70700.0,17100.0,26800.0,43900.0
2024-02-27,30950.0,90400.0,37400.0,26500.0,63900.0
2024-02-27,31000.0,168200.0,10000.0,79100.0,89100.0
2024-02-27,31050.0,79200.0,18400.0,30400.0,48800.0
2024-02-27,31100.0,92800.0,47800.0,22500.0,70300.0
2024-02-27,31150.0,600.0,600.0,0.0,600.0
2024-02-28,30750.0,94400.0,-80800.0,87600.0,6800.0
2024-02-28,30800.0,216900.0,-53900.0,135400.0,81500.0
2024-02-28,30850.0,91400.0,-12600.0,52000.0,39400.0
2024-02-28,30900.0,67500.0,-35100.0,51300.0,16200.0
2024-02-28,30950.0,213300.0,-144500.0,178900.0,34400.0
2024-02-28,31000.0,148100.0,-59700.0,103900.0,44200.0
2024-02-28,31050.0,110400.0,-31200.0,70800.0,39600.0
2024-02-28,31100.0,124400.0,1400.0,61500.0,62900.0
2024-02-28,31150.0,16300.0,-11300.0,13800.0,2500.0
2024-02-28,31200.0,1900.0,-100.0,1000.0,900.0
2024-02-28,31250.0,8500.0,8500.0,0.0,8500.0
2024-02-29,30700.0,38600.0,-38600.0,38600.0,0.0
2024-02-29,30750.0,94900.0,-37100.0,66000.0,28900.0
2024-02-29,30800.0,120700.0,-58100.0,89400.0,31300.0
2024-02-29,30850.0,204100.0,-98300.0,151200.0,52900.0
2024-02-29,30900.0,365800.0,-131200.0,248500.0,117300.0
2024-02-29,30950.0,321700.0,-44900.0,183300.0,138400.0
2024-02-29,31000.0,767000.0,362000.0,202500.0,564500.0
2024-02-29,31050.0,381900.0,-115700.0,248800.0,133100.0
2024-02-29,31100.0,287400.0,135800.0,75800.0,211600.0
2024-02-29,31150.0,124700.0,61100.0,31800.0,92900.0
2024-02-29,31200.0,25700.0,25700.0,0.0,25700.0
2024-02-29,31250.0,58700.0,58700.0,0.0,58700.0
2024-03-01,30750.0,33000.0,-33000.0,33000.0,0.0
2024-03-01,30800.0,78100.0,-14100.0,46100.0,32000.0
2024-03-01,30850.0,179400.0,-150200.0,164800.0,14600.0
2024-03-01,30900.0,547800.0,-193000.0,370400.0,177400.0
2024-03-01,30950.0,295500.0,-36300.0,165900.0,129600.0
2024-03-01,31000.0,243600.0,43600.0,100000.0,143600.0
2024-03-01,31050.0,151500.0,60700.0,45400.0,106100.0
2024-03-01,31100.0,64600.0,64600.0,0.0,64600.0
2024-03-04,31550.0,119200.0,-119200.0,119200.0,0.0
2024-03-04,31600.0,81500.0,24500.0,28500.0,53000.0
2024-03-04,31650.0,282500.0,9100.0,136700.0,145800.0
2024-03-04,31700.0,307700.0,4100.0,151800.0,155900.0
2024-03-04,31750.0,189600.0,58400.0,65600.0,124000.0
2024-03-04,31800.0,308800.0,168200.0,70300.0,238500.0
2024-03-04,31850.0,93100.0,44500.0,24300.0,68800.0
2024-03-04,31900.0,180400.0,42400.0,69000.0,111400.0
2024-03-04,31950.0,223800.0,-43200.0,133500.0,90300.0
2024-03-04,32000.0,898000.0,131200.0,383400.0,514600.0
2024-03-04,32050.0,763600.0,-74200.0,418900.0,344700.0
2024-03-04,32100.0,896000.0,226400.0,334800.0,561200.0
2024-03-04,32150.0,219100.0,-16500.0,117800.0,101300.0
2024-03-04,32200.0,316800.0,169400.0,73700.0,243100.0
2024-03-04,32250.0,176100.0,100100.0,38000.0,138100.0
2024-03-04,32300.0,31000.0,31000.0,0.0,31000.0
2024-03-05,31500.0,49300.0,-49300.0,49300.0,0.0
2024-03-05,31550.0,218800.0,-106000.0,162400.0,56400.0
2024-03-05,31600.0,336000.0,800.0,167600.0,168400.0
2024-03-05,31650.0,213200.0,27000.0,93100.0,120100.0
2024-03-05,31700.0,280900.0,-48900.0,164900.0,116000.0
2024-03-05,31750.0,249300.0,25900.0,111700.0,137600.0
2024-03-05,31800.0,151100.0,116500.0,17300.0,133800.0
2024-03-05,31850.0,7700.0,500.0,3600.0,4100.0
2024-03-05,31900.0,18500.0,13900.0,2300.0,16200.0
2024-03-06,31050.0,1800.0,-1800.0,1800.0,0.0
2024-03-06,31100.0,55700.0,-36700.0,46200.0,9500.0
2024-03-06,31150.0,99300.0,-51100.0,75200.0,24100.0
2024-03-06,31200.0,243900.0,-87100.0,165500.0,78400.0
2024-03-06,31250.0,255200.0,-64200.0,159700.0,95500.0
2024-03-06,31300.0,229000.0,-50600.0,139800.0,89200.0
2024-03-06,31350.0,86400.0,-56600.0,71500.0,14900.0
2024-03-06,31400.0,77000.0,-64600.0,70800.0,6200.0
2024-03-06,31450.0,87400.0,-86200.0,86800.0,600.0
2024-03-06,31500.0,222800.0,-126000.0,174400.0,48400.0
2024-03-06,31550.0,72200.0,-39200.0,55700.0,16500.0
2024-03-06,31600.0,102100.0,-85100.0,93600.0,8500.0
2024-03-06,31650.0,75700.0,-31100.0,53400.0,22300.0
2024-03-06,31700.0,152300.0,17300.0,67500.0,84800.0
2024-03-06,31750.0,134700.0,20100.0,57300.0,77400.0
2024-03-06,31800.0,77400.0,-69400.0,73400.0,4000.0
2024-03-06,31850.0,50000.0,7600.0,21200.0,28800.0
2024-03-06,31900.0,252500.0,95900.0,78300.0,174200.0
2024-03-06,31950.0,29000.0,29000.0,0.0,29000.0
2024-03-07,30850.0,1500.0,-1500.0,1500.0,0.0
2024-03-07,30900.0,103300.0,-103300.0,103300.0,0.0
2024-03-07,30950.0,441400.0,-226600.0,334000.0,107400.0
2024-03-07,31000.0,456800.0,-183800.0,320300.0,136500.0
2024-03-07,31050.0,411000.0,-208400.0,309700.0,101300.0
2024-03-07,31100.0,414000.0,26000.0,194000.0,220000.0
2024-03-07,31150.0,199500.0,-33100.0,116300.0,83200.0
2024-03-07,31200.0,171600.0,59600.0,56000.0,115600.0
2024-03-07,31250.0,31000.0,24400.0,3300.0,27700.0
2024-03-07,31300.0,500.0,500.0,0.0,500.0
2024-03-08,30600.0,6500.0,-6500.0,6500.0,0.0
2024-03-08,30650.0,211300.0,-24300.0,117800.0,93500.0
2024-03-08,30700.0,414800.0,-125200.0,270000.0,144800.0
2024-03-08,30750.0,199900.0,-119700.0,159800.0,40100.0
2024-03-08,30800.0,485300.0,-354700.0,420000.0,65300.0
2024-03-08,30850.0,312800.0,-94200.0,203500.0,109300.0
2024-03-08,30900.0,234900.0,-132300.0,183600.0,51300.0
2024-03-08,30950.0,222000.0,-107200.0,164600.0,57400.0
2024-03-08,31000.0,247200.0,-54400.0,150800.0,96400.0
2024-03-08,31050.0,98500.0,-54700.0,76600.0,21900.0
2024-03-08,31100.0,118100.0,-80900.0,99500.0,18600.0
2024-03-08,31150.0,34600.0,-20200.0,27400.0,7200.0
2024-03-08,31200.0,86600.0,-24200.0,55400.0,31200.0
2024-03-08,31250.0,12000.0,-7600.0,9800.0,2200.0
2024-03-08,31300.0,29900.0,-1300.0,15600.0,14300.0
2024-03-08,31350.0,2100.0,900.0,600.0,1500.0
2024-03-08,31400.0,9600.0,-2800.0,6200.0,3400.0
2024-03-08,31450.0,19300.0,-3700.0,11500.0,7800.0
2024-03-08,31500.0,2400.0,2400.0,0.0,2400.0
2024-03-11,28500.0,199900.0,-199900.0,199900.0,0.0
2024-03-11,28600.0,26800.0,-26800.0,26800.0,0.0
2024-03-11,28650.0,400.0,-400.0,400.0,0.0
2024-03-11,28700.0,200.0,-200.0,200.0,0.0
2024-03-11,28800.0,600.0,-600.0,600.0,0.0
2024-03-11,28900.0,2200.0,-2200.0,2200.0,0.0
2024-03-11,28950.0,200.0,-200.0,200.0,0.0
2024-03-11,29000.0,19600.0,-19600.0,19600.0,0.0
2024-03-11,29100.0,100.0,-100.0,100.0,0.0
2024-03-11,29200.0,2100.0,-2100.0,2100.0,0.0
2024-03-11,29250.0,100.0,-100.0,100.0,0.0
2024-03-11,29300.0,5200.0,-5200.0,5200.0,0.0
2024-03-11,29400.0,2300.0,-2300.0,2300.0,0.0
2024-03-11,29500.0,7900.0,-7900.0,7900.0,0.0
2024-03-11,29550.0,1100.0,-1100.0,1100.0,0.0
2024-03-11,29600.0,2800.0,-2800.0,2800.0,0.0
2024-03-11,29650.0,1000.0,-1000.0,1000.0,0.0
2024-03-11,29700.0,600.0,-600.0,600.0,0.0
2024-03-11,29750.0,7000.0,-7000.0,7000.0,0.0
2024-03-11,29800.0,159700.0,-159700.0,159700.0,0.0
2024-03-11,29850.0,12800.0,-9400.0,11100.0,1700.0
2024-03-11,29900.0,78000.0,-12200.0,45100.0,32900.0
2024-03-11,29950.0,211000.0,71000.0,70000.0,141000.0
2024-03-11,30000.0,161500.0,-75500.0,118500.0,43000.0
2024-03-11,30050.0,48700.0,-33100.0,40900.0,7800.0
2024-03-11,30100.0,55000.0,-55000.0,55000.0,0.0
2024-03-11,30150.0,63900.0,21700.0,21100.0,42800.0
2024-03-11,30200.0,80600.0,-49200.0,64900.0,15700.0
2024-03-11,30250.0,16100.0,2100.0,7000.0,9100.0
2024-03-11,30300.0,43800.0,-43800.0,43800.0,0.0
2024-03-11,30350.0,23200.0,-23200.0,23200.0,0.0
2024-03-11,30400.0,45000.0,-45000.0,45000.0,0.0
2024-03-11,30450.0,32000.0,-10000.0,21000.0,11000.0
2024-03-11,30500.0,154700.0,-149100.0,151900.0,2800.0
2024-03-11,30550.0,119200.0,-117200.0,118200.0,1000.0
2024-03-11,30600.0,283100.0,-185100.0,234100.0,49000.0
2024-03-11,30650.0,189300.0,-33900.0,111600.0,77700.0
2024-03-11,30700.0,143200.0,-31800.0,87500.0,55700.0
2024-03-11,30750.0,108700.0,23100.0,42800.0,65900.0
2024-03-11,30800.0,126700.0,-5900.0,66300.0,60400.0
2024-03-11,30850.0,18200.0,3600.0,7300.0,10900.0
2024-03-11,30900.0,30700.0,100.0,15300.0,15400.0
2024-03-11,30950.0,26000.0,19600.0,3200.0,22800.0
2024-03-11,31000.0,200.0,200.0,0.0,200.0
2024-03-12,29800.0,11800.0,-11800.0,11800.0,0.0
2024-03-12,29850.0,6300.0,-5300.0,5800.0,500.0
2024-03-12,29900.0,127000.0,-80400.0,103700.0,23300.0
2024-03-12,29950.0,217000.0,-133400.0,175200.0,41800.0
2024-03-12,30000.0,983500.0,-526500.0,755000.0,228500.0
2024-03-12,30050.0,276700.0,5100.0,135800.0,140900.0
2024-03-12,30100.0,183800.0,25600.0,79100.0,104700.0
2024-03-12,30150.0,61200.0,6600.0,27300.0,33900.0
2024-03-12,30200.0,337200.0,225000.0,56100.0,281100.0
2024-03-12,30250.0,25800.0,-4000.0,14900.0,10900.0
2024-03-12,30300.0,62800.0,-11200.0,37000.0,25800.0
2024-03-12,30350.0,34700.0,5700.0,14500.0,20200.0
2024-03-12,30400.0,6900.0,6900.0,0.0,6900.0
2024-03-13,29900.0,9300.0,-9300.0,9300.0,0.0
2024-03-13,29950.0,63300.0,-63300.0,63300.0,0.0
2024-03-13,30000.0,136900.0,-136900.0,136900.0,0.0
2024-03-13,30050.0,48700.0,-48700.0,48700.0,0.0
2024-03-13,30100.0,231600.0,-139200.0,185400.0,46200.0
2024-03-13,30150.0,226500.0,53700.0,86400.0,140100.0
2024-03-13,30200.0,288900.0,183900.0,52500.0,236400.0
2024-03-13,30250.0,126900.0,94700.0,16100.0,110800.0
2024-03-13,30300.0,148500.0,138900.0,4800.0,143700.0
2024-03-13,30350.0,52800.0,16600.0,18100.0,34700.0
2024-03-13,30400.0,159400.0,-16400.0,87900.0,71500.0
2024-03-13,30450.0,106000.0,-2400.0,54200.0,51800.0
2024-03-13,30500.0,423300.0,169300.0,127000.0,296300.0
2024-03-13,30550.0,330300.0,-89500.0,209900.0,120400.0
2024-03-13,30600.0,147500.0,114900.0,16300.0,131200.0
2024-03-13,30650.0,46400.0,20400.0,13000.0,33400.0
2024-03-13,30700.0,32600.0,32600.0,0.0,32600.0
2024-03-14,30700.0,9200.0,-9200.0,9200.0,0.0
2024-03-14,30750.0,110400.0,-81800.0,96100.0,14300.0
2024-03-14,30800.0,295500.0,-5100.0,150300.0,145200.0
2024-03-14,30850.0,294500.0,-41500.0,168000.0,126500.0
2024-03-14,30900.0,338700.0,6100.0,166300.0,172400.0
2024-03-14,30950.0,333600.0,46200.0,143700.0,189900.0
2024-03-14,31000.0,603600.0,362400.0,120600.0,483000.0
2024-03-14,31050.0,124700.0,46100.0,39300.0,85400.0
2024-03-14,31100.0,121800.0,9600.0,56100.0,65700.0
2024-03-14,31150.0,114700.0,23900.0,45400.0,69300.0
2024-03-14,31200.0,246800.0,56400.0,95200.0,151600.0
2024-03-14,31250.0,297200.0,266600.0,15300.0,281900.0
2024-03-14,31300.0,26300.0,26300.0,0.0,26300.0
2024-03-15,31100.0,500.0,-500.0,500.0,0.0
2024-03-15,31150.0,1000.0,-1000.0,1000.0,0.0
2024-03-15,31200.0,53600.0,-7200.0,30400.0,23200.0
2024-03-15,31250.0,3000.0,-3000.0,3000.0,0.0
2024-03-15,31300.0,67600.0,-2400.0,35000.0,32600.0
2024-03-15,31350.0,227000.0,227000.0,0.0,227000.0
2024-03-15,31400.0,61600.0,38000.0,11800.0,49800.0
2024-03-15,31450.0,15300.0,15300.0,0.0,15300.0
2024-03-15,31500.0,127300.0,127300.0,0.0,127300.0
2024-03-15,31550.0,1400.0,1400.0,0.0,1400.0
2024-03-15,31600.0,36200.0,16400.0,9900.0,26300.0
2024-03-15,31650.0,8200.0,8200.0,0.0,8200.0
2024-03-15,31700.0,62900.0,-6900.0,34900.0,28000.0
2024-03-15,31750.0,171100.0,165900.0,2600.0,168500.0
2024-03-15,31800.0,93500.0,54100.0,19700.0,73800.0
2024-03-15,31850.0,215200.0,55800.0,79700.0,135500.0
2024-03-15,31900.0,165700.0,136900.0,14400.0,151300.0
2024-03-15,31950.0,124000.0,123400.0,300.0,123700.0
2024-03-15,32000.0,299700.0,299700.0,0.0,299700.0
2024-03-15,32050.0,40700.0,40700.0,0.0,40700.0
2024-03-15,32100.0,64300.0,64300.0,0.0,64300.0
2024-03-15,32150.0,20700.0,20700.0,0.0,20700.0
2024-03-15,32200.0,76500.0,76500.0,0.0,76500.0
2024-03-15,32250.0,46000.0,38600.0,3700.0,42300.0
2024-03-15,32300.0,85700.0,85300.0,200.0,85500.0
2024-03-15,32350.0,44900.0,44900.0,0.0,44900.0
2024-03-15,32400.0,154500.0,-31900.0,93200.0,61300.0
2024-03-15,32450.0,237400.0,39400.0,99000.0,138400.0
2024-03-15,32500.0,352200.0,186000.0,83100.0,269100.0
2024-03-15,32550.0,171500.0,4700.0,83400.0,88100.0
2024-03-15,32600.0,416900.0,105700.0,155600.0,261300.0
2024-03-15,32650.0,408700.0,408700.0,0.0,408700.0
2024-03-15,32700.0,161200.0,161200.0,0.0,161200.0
2024-03-15,32750.0,70100.0,43700.0,13200.0,56900.0
2024-03-15,32800.0,211300.0,201300.0,5000.0,206300.0
2024-03-15,32850.0,101300.0,83700.0,8800.0,92500.0
2024-03-15,32900.0,174600.0,161600.0,6500.0,168100.0
2024-03-15,32950.0,226000.0,21200.0,102400.0,123600.0
2024-03-15,33000.0,804600.0,804600.0,0.0,804600.0
2024-03-15,33050.0,25100.0,25100.0,0.0,25100.0
2024-03-15,33100.0,60700.0,60700.0,0.0,60700.0
2024-03-15,33150.0,27300.0,27300.0,0.0,27300.0
2024-03-15,33200.0,105500.0,100700.0,2400.0,103100.0
2024-03-15,33250.0,167200.0,10200.0,78500.0,88700.0
2024-03-15,33300.0,956500.0,-16300.0,486400.0,470100.0
2024-03-15,33350.0,8106600.0,-1715400.0,4911000.0,3195600.0
2024-03-18,32900.0,500.0,-500.0,500.0,0.0
2024-03-18,32950.0,105000.0,-105000.0,105000.0,0.0
2024-03-18,33000.0,344000.0,-134400.0,239200.0,104800.0
2024-03-18,33050.0,72600.0,-35200.0,53900.0,18700.0
2024-03-18,33100.0,76400.0,-7800.0,42100.0,34300.0
2024-03-18,33150.0,12400.0,-8800.0,10600.0,1800.0
2024-03-18,33200.0,113500.0,-74100.0,93800.0,19700.0
2024-03-18,33250.0,75200.0,-51200.0,63200.0,12000.0
2024-03-18,33300.0,323600.0,5800.0,158900.0,164700.0
2024-03-18,33350.0,545900.0,9100.0,268400.0,277500.0
2024-03-18,33400.0,397000.0,18200.0,189400.0,207600.0
2024-03-18,33450.0,110500.0,-11700.0,61100.0,49400.0
2024-03-18,33500.0,442000.0,134200.0,153900.0,288100.0
2024-03-18,33550.0,78700.0,-5700.0,42200.0,36500.0
2024-03-18,33600.0,92900.0,-10900.0,51900.0,41000.0
2024-03-18,33650.0,99700.0,-46900.0,73300.0,26400.0
2024-03-18,33700.0,286600.0,64600.0,111000.0,175600.0
2024-03-18,33750.0,143400.0,6800.0,68300.0,75100.0
2024-03-18,33800.0,290800.0,81600.0,104600.0,186200.0
2024-03-18,33850.0,282800.0,43200.0,119800.0,163000.0
2024-03-18,33900.0,395500.0,190500.0,102500.0,293000.0
2024-03-18,33950.0,204600.0,125400.0,39600.0,165000.0
2024-03-18,34000.0,466900.0,142300.0,162300.0,304600.0
2024-03-18,34050.0,137100.0,-31700.0,84400.0,52700.0
2024-03-18,34100.0,345500.0,-181100.0,263300.0,82200.0
2024-03-18,34150.0,213700.0,127700.0,43000.0,170700.0
2024-03-18,34200.0,609600.0,310400.0,149600.0,460000.0
2024-03-18,34250.0,165400.0,69600.0,47900.0,117500.0
2024-03-18,34300.0,467400.0,86400.0,190500.0,276900.0
2024-03-18,34350.0,557500.0,92500.0,232500.0,325000.0
2024-03-18,34400.0,728200.0,274600.0,226800.0,501400.0
2024-03-18,34450.0,449200.0,209000.0,120100.0,329100.0
2024-03-18,34500.0,403400.0,275200.0,64100.0,339300.0
2024-03-18,34550.0,65700.0,22300.0,21700.0,44000.0
2024-03-18,34600.0,150000.0,-53000.0,101500.0,48500.0
2024-03-18,34650.0,45500.0,34900.0,5300.0,40200.0
2024-03-18,34700.0,116900.0,23500.0,46700.0,70200.0
2024-03-18,34750.0,38600.0,30600.0,4000.0,34600.0
2024-03-18,34800.0,74300.0,48300.0,13000.0,61300.0
2024-03-18,34850.0,9100.0,9100.0,0.0,9100.0
2024-03-18,34900.0,63900.0,-19100.0,41500.0,22400.0
2024-03-18,34950.0,36600.0,-13000.0,24800.0,11800.0
2024-03-18,35000.0,350700.0,201700.0,74500.0,276200.0
2024-03-18,35050.0,52200.0,-35400.0,43800.0,8400.0
2024-03-18,35100.0,120100.0,15900.0,52100.0,68000.0
2024-03-18,35150.0,74900.0,52500.0,11200.0,63700.0
2024-03-18,35200.0,1000.0,1000.0,0.0,1000.0
2024-03-19,33400.0,50000.0,-50000.0,50000.0,0.0
2024-03-19,33450.0,1900.0,-1900.0,1900.0,0.0
2024-03-19,33500.0,393500.0,-210100.0,301800.0,91700.0
2024-03-19,33550.0,49400.0,15600.0,16900.0,32500.0
2024-03-19,33600.0,211700.0,12100.0,99800.0,111900.0
2024-03-19,33650.0,94900.0,-24700.0,59800.0,35100.0
2024-03-19,33700.0,166600.0,14800.0,75900.0,90700.0
2024-03-19,33750.0,59300.0,-14100.0,36700.0,22600.0
2024-03-19,33800.0,94600.0,-83800.0,89200.0,5400.0
2024-03-19,33850.0,172700.0,-115700.0,144200.0,28500.0
2024-03-19,33900.0,495700.0,-205100.0,350400.0,145300.0
2024-03-19,33950.0,449800.0,-28000.0,238900.0,210900.0
2024-03-19,34000.0,755200.0,-74200.0,414700.0,340500.0
2024-03-19,34050.0,362700.0,-190100.0,276400.0,86300.0
2024-03-19,34100.0,395200.0,-52800.0,224000.0,171200.0
2024-03-19,34150.0,333100.0,-56700.0,194900.0,138200.0
2024-03-19,34200.0,431100.0,13500.0,208800.0,222300.0
2024-03-19,34250.0,280600.0,60400.0,110100.0,170500.0
2024-03-19,34300.0,142000.0,16400.0,62800.0,79200.0
2024-03-19,34350.0,34200.0,3400.0,15400.0,18800.0
2024-03-19,34400.0,61700.0,-500.0,31100.0,30600.0
